uri,author,created,text
at://did:plc:ikvnfuw3l3kqoatcadcmii6b/app.bsky.feed.post/3lqafkhj4ws2v,movimientosumar.es,2025-05-28T14:20:08.751Z,Exigimos la retirada de la embajadora de Tel Aviv y el embargo a Israel.  España no puede mantener relaciones diplomáticas ni comerciales con un Estado ge-no-ci-da.
at://did:plc:ikvnfuw3l3kqoatcadcmii6b/app.bsky.feed.post/3lqa3tfijvk2g,movimientosumar.es,2025-05-28T11:26:11.206Z,"Si es un derecho, es un derecho universal. Como lo es un trasplante o una operación cardíaca, debe serlo también la salud visual.  🗞 Entrevista completa de @monicagarciag.bsky.social 👇 sumar.ink/4mBvvyV"
at://did:plc:ikvnfuw3l3kqoatcadcmii6b/app.bsky.feed.post/3lq7xp5fulc2d,movimientosumar.es,2025-05-28T10:12:13.537Z,El próximo martes nos vemos en Valladolid para seguir defendiendo nuestro tiempo y un futuro laboral más justo.  Te esperamos 🩷
at://did:plc:ikvnfuw3l3kqoatcadcmii6b/app.bsky.feed.post/3lq7rzklx2c2g,movimientosumar.es,2025-05-28T08:30:40.469Z,"La Comisión Europea parece haber olvidado las lecciones de la crisis financiera.  Las grandes concentraciones bancarias no fortalecen el sistema, lo hacen más frágil.  💬 @ernesturtasun.bsky.social"
at://did:plc:ikvnfuw3l3kqoatcadcmii6b/app.bsky.feed.post/3lq7rzcx7yk2c,movimientosumar.es,2025-05-28T08:30:32.451Z,"Las lenguas cooficiales serán oficiales en la UE. El PP vuelve a hacer lo de siempre: boicotear a su propio país.  Negar las lenguas de 15 millones de personas no es patriotismo, es desprecio.  💬 @ernesturtasun.bsky.social"
at://did:plc:ikvnfuw3l3kqoatcadcmii6b/app.bsky.feed.post/3lq7pdbel2c2m,movimientosumar.es,2025-05-28T07:42:25.109Z,⏰ Nos faltan minutos para hablar de la negligencia del PP 👇
at://did:plc:ikvnfuw3l3kqoatcadcmii6b/app.bsky.feed.post/3lq7p46oi6s24,movimientosumar.es,2025-05-28T07:38:27.407Z,Que alguien le pase esto de @yolandadiaz.bsky.social a Moreno Bonilla  👇
at://did:plc:ikvnfuw3l3kqoatcadcmii6b/app.bsky.feed.post/3lq7obb6ckc2h,movimientosumar.es,2025-05-28T07:23:24.053Z,El PP tiene la oportunidad de rendir cuentas:  👉Con las 7.291 familias que en Madrid perdieron a sus familiares por los protocolos de la vergüenza   👉Con las víctimas de la gestión de la DANA de Mazón en Valencia  🎥 @yolandadiaz.bsky.social
at://did:plc:ikvnfuw3l3kqoatcadcmii6b/app.bsky.feed.post/3lq7nlo4prs2g,movimientosumar.es,2025-05-28T07:11:19.421Z,Hace un año lo logramos: nuestro país reconoció el Estado palestino.  Hoy exigimos el siguiente paso. No se puede construir paz manteniendo relaciones con el Estado genocida de Israel.
at://did:plc:ikvnfuw3l3kqoatcadcmii6b/app.bsky.feed.post/3lq65as72y22y,movimientosumar.es,2025-05-27T16:46:15.000Z,"Participar no es solo votar. Es construir barrio, cuidar lo común y defender lo de todas.  Sin el movimiento vecinal, este país sería más frágil y más injusto.  💬 @landermartinez.bsky.social"
at://did:plc:ikvnfuw3l3kqoatcadcmii6b/app.bsky.feed.post/3lq63mjsdt22y,movimientosumar.es,2025-05-27T16:17:01.364Z,El problema del discurso del PP es que se desmonta con una sola pregunta: ¿Dónde estaban?  La respuesta es fácil: sistemáticamente del lado de quienes se lucran a costa de los derechos del resto.  @pbustinduy.bsky.social 👇
at://did:plc:ikvnfuw3l3kqoatcadcmii6b/app.bsky.feed.post/3lq5y6giin22j,movimientosumar.es,2025-05-27T15:15:26.908Z,"Lo llaman libertad, pero es recortar en ciencia y bloquear medicamentos que salvan vidas.  @monicagarciag.bsky.social se lo deja claro al PP: la salud no se recorta."
at://did:plc:ikvnfuw3l3kqoatcadcmii6b/app.bsky.feed.post/3lq5xpginyc2y,movimientosumar.es,2025-05-27T15:07:03.597Z,"El PP votó en contra de subir el salario, de salvar empleos y de crear 500.000 trabajos en Andalucía.  Andalucía no mejora gracias a Moreno Bonilla, mejora a pesar de él.  @yolandadiaz.bsky.social 👇"
at://did:plc:ikvnfuw3l3kqoatcadcmii6b/app.bsky.feed.post/3lq5qw3zzq22y,movimientosumar.es,2025-05-27T13:05:31.320Z,Ningún interés económico está por encima del derecho a la vivienda.  💬 @pbustinduy.bsky.social sobre los 65.000 anuncios ilegales de pisos turísticos de Airbnb 👇
at://did:plc:ikvnfuw3l3kqoatcadcmii6b/app.bsky.feed.post/3lq5ococbd22b,movimientosumar.es,2025-05-27T12:18:51.892Z,"Presentamos una nueva proposición de ley para que España rompa ya relaciones políticas, económicas y comerciales con el Estado genocida de Israel.  🎥 @veronicambarbero.bsky.social"
at://did:plc:ikvnfuw3l3kqoatcadcmii6b/app.bsky.feed.post/3lq5ddkmp532m,movimientosumar.es,2025-05-27T09:02:30.192489Z,"Otra forma de vivir es posible. Este viernes en Bilbao hablamos de tiempo, trabajo y vida. Nos vemos a las 18:30 en Bizkaia Aretoa 🩷"
at://did:plc:ikvnfuw3l3kqoatcadcmii6b/app.bsky.feed.post/3lq3a6bgbq22j,movimientosumar.es,2025-05-26T13:00:32.312Z,✅ Conseguido: todas y todos los menores de 16 años tendrán derecho a hasta 100 € para gafas y lentillas.  Hoy la sanidad pública es más justa y más universal.
at://did:plc:ikvnfuw3l3kqoatcadcmii6b/app.bsky.feed.post/3lq37drkprc2h,movimientosumar.es,2025-05-26T12:45:43.266Z,"Hoy aprobamos la universalidad del acceso a las gafas y las lentillas a los menores de 16 años. Felicitamos el trabajo de la ministra de Sanidad, @monicagarciag.bsky.social.  ✅Cumplimos con el acuerdo de coalición.   📽 @ernesturtasun.bsky.social"
at://did:plc:ikvnfuw3l3kqoatcadcmii6b/app.bsky.feed.post/3lq36ih2qhk2y,movimientosumar.es,2025-05-26T12:30:26.286Z,Ante el genocidio en Palestina hay que hacer más:  👉La proposición de ley que hemos aprobamos para un embargo completo a Israel debe ser tramitada de urgencia.   👉España tiene que retirar a la embajadora de Israel y ejercer más presión diplomática.  📽 @ernesturtasun.bsky.social
at://did:plc:ikvnfuw3l3kqoatcadcmii6b/app.bsky.feed.post/3lq36dkyi2k23,movimientosumar.es,2025-05-26T12:27:42.634Z,"Somos la fuerza política que se hace cargo de las urgencias.  👉Hay que intervenir el mercado de la vivienda para bajar los precios, la gente no puede esperar más.  📽 @ernesturtasun.bsky.social"
at://did:plc:ikvnfuw3l3kqoatcadcmii6b/app.bsky.feed.post/3lq2ozqsiuk2t,movimientosumar.es,2025-05-26T07:53:47.056Z,"“Para los agoreros, el desastre que no sucedió con el incremento del SMI, con los ERTE de la pandemia y con la eliminación del contrato de obra servicio, va a suceder ahora, con la reducción de la jornada. No saben de lo que hablan. O sí, pero mienten”.  🗞️ @manuel-lago-penas.bsky.social"
at://did:plc:ikvnfuw3l3kqoatcadcmii6b/app.bsky.feed.post/3lq2lprkq2k2w,movimientosumar.es,2025-05-26T06:54:31.080Z,"“La reducción de jornada mejora la salud física y mental, aumenta la productividad y permite una redistribución más justa del tiempo. Pero, sobre todo, puede tener un impacto estructural en la vida de las mujeres. El tiempo también es una cuestión de género”.  🗞️ @esthergil.bsky.social"
at://did:plc:ikvnfuw3l3kqoatcadcmii6b/app.bsky.feed.post/3lpyy5fbyxz25,movimientosumar.es,2025-05-25T15:31:32.881155Z,"Cualquier contrato suscrito con el Estado genocida de Israel no puede salir adelante.  Es una cuestión de voluntad política, con los derechos humanos no se puede negociar.  📽 @larahernandez.bsky.social"
