uri,author,created,text
at://did:plc:zfx7buwh3bdf3nneuh5or3ns/app.bsky.feed.post/3lqa4d4i4ik2r,yolandadiaz.bsky.social,2025-05-28T11:34:58.627Z,180 personas abordo de un cayuco. 180 personas que huían en busca de un futuro mejor. No podemos normalizar que nuestros mares se conviertan en las mayores fosas comunes. Son personas.  Mi pésame a las familias de las fallecidas y mi apoyo a los equipos de rescate.
at://did:plc:zfx7buwh3bdf3nneuh5or3ns/app.bsky.feed.post/3lq7y2xmir22b,yolandadiaz.bsky.social,2025-05-28T10:18:50.125Z,Hacía mucho que el PP no me preguntaba en una sesión de control. Hoy respondo a sus mentiras por partida triple.
at://did:plc:zfx7buwh3bdf3nneuh5or3ns/app.bsky.feed.post/3lq7ov5lpvs2b,yolandadiaz.bsky.social,2025-05-28T07:34:31.379Z,"Hace un año conseguimos que nuestro país reconociese el Estado de Palestina.  Un año más tarde, y cientos de miles de personas asesinadas, el genocidio continúa. Hay que hacer más: el siguiente paso es romper todas las relaciones con el Estado genocida de Israel e implantar sanciones."
at://did:plc:zfx7buwh3bdf3nneuh5or3ns/app.bsky.feed.post/3lq62gq4d4k2p,yolandadiaz.bsky.social,2025-05-27T15:55:52.915Z,"El PP ha votado en contra de todas las políticas que han mejorado la vida de las personas trabajadoras andaluzas.  Moreno Bonilla, de nada sirven las medallas si remas a la contra."
at://did:plc:zfx7buwh3bdf3nneuh5or3ns/app.bsky.feed.post/3lq5df6xymk2j,yolandadiaz.bsky.social,2025-05-27T09:03:25.323Z,"Este viernes nos vemos a las 18:30 en Bizkaia Aretoa 🤍  La ciudadanía pide ganar tiempo para vivir mejor. Nosotras hemos hecho nuestra parte, ahora les toca a los partidos políticos decir si están del lado de los derechos de más de 12 millones de personas."
at://did:plc:zfx7buwh3bdf3nneuh5or3ns/app.bsky.feed.post/3lq3uw7z7ik2u,yolandadiaz.bsky.social,2025-05-26T19:11:50.978Z,España es una isla de esperanza.
at://did:plc:zfx7buwh3bdf3nneuh5or3ns/app.bsky.feed.post/3lq3st7tit22u,yolandadiaz.bsky.social,2025-05-26T18:34:22.631Z,"El 76% del empleo en España es trabajo en los servicios. Personas que cuidan, atienden, acompañan. Nada cambia si no cambian sus vidas.   Gracias a los sindicatos, hemos ganado derechos.Y con ellos, vamos a lograr la reducción de jornada.Porque el futuro será con más tiempo, más dignidad y más vida."
at://did:plc:zfx7buwh3bdf3nneuh5or3ns/app.bsky.feed.post/3lq3dprg2uc22,yolandadiaz.bsky.social,2025-05-26T14:04:00.730Z,"He conocido Bloc4Bcn, un proyecto que fomenta empresas cooperativas que se transforman en fundamentales en Barcelona.  Demuestran que es posible crear empresas solidarias, que miren por la justicia social y la igualdad. Son ejemplos del camino a seguir."
at://did:plc:zfx7buwh3bdf3nneuh5or3ns/app.bsky.feed.post/3lq33f3yaic22,yolandadiaz.bsky.social,2025-05-26T11:34:52.782Z,"Aprobamos una ayuda universal de 100€ para gafas y lentillas para menores de 16 años. Porque ver bien es un derecho tan universal como la sanidad.  Una ayuda para todo el mundo, sencilla y sin papeleos para quien lo necesite. Gracias @monicagarciag.bsky.social por ensanchar y fortalecer lo público."
at://did:plc:zfx7buwh3bdf3nneuh5or3ns/app.bsky.feed.post/3lpysea4z422a,yolandadiaz.bsky.social,2025-05-25T13:48:00.424Z,La ciudadanía lo tiene claro: ganar tiempo de vida es vivir mejor. Ahora es el momento de que los grupo políticos hagan su trabajo y representen la voluntad popular.  Gracias a vuestra movilización la reducción de jornada será una realidad.
